dens Strain medium
2.9 1 Circle
9.8 1 Circle
12.8 1 Circle
7 1 Circle
11.6 1 Circle
10.9 1 Circle
14.4 1 Circle
5.1 1 Circle
17.7 1 Colibroth
12.1 1 Colibroth
13.9 1 Colibroth
6.8 1 Colibroth
19.6 1 Colibroth
16.1 1 Colibroth
21 1 Colibroth
10.3 1 Colibroth
19 1 Eplus
11.9 1 Eplus
15.3 1 Eplus
18.7 1 Eplus
16.1 1 Eplus
20 1 Eplus
22.2 1 Eplus
15.3 1 Eplus
16.3 1 GoCo
8.4 1 GoCo
8.3 1 GoCo
12.1 1 GoCo
8.1 1 GoCo
3.8 1 GoCo
9.5 1 GoCo
6.4 1 GoCo
12.1 2 Circle
20.5 2 Circle
5.9 2 Circle
10.6 2 Circle
0 2 Circle
6.7 2 Circle
7.7 2 Circle
21.3 2 Circle
5.9 2 Colibroth
13.3 2 Colibroth
14.3 2 Colibroth
15.9 2 Colibroth
15.5 2 Colibroth
20.1 2 Colibroth
22.4 2 Colibroth
15.1 2 Colibroth
19.7 2 Eplus
21.9 2 Eplus
13.6 2 Eplus
6.9 2 Eplus
27.2 2 Eplus
15.4 2 Eplus
11.3 2 Eplus
9.8 2 Eplus
23.7 2 GoCo
19.1 2 GoCo
14.4 2 GoCo
21.6 2 GoCo
10 2 GoCo
17.7 2 GoCo
18.4 2 GoCo
20.1 2 GoCo
20.7 3 Circle
18.6 3 Circle
13.5 3 Circle
7.8 3 Circle
22.3 3 Circle
20.7 3 Circle
9.1 3 Circle
20.3 3 Circle
20 3 Colibroth
23.7 3 Colibroth
18.9 3 Colibroth
19.6 3 Colibroth
12.9 3 Colibroth
25 3 Colibroth
19.2 3 Colibroth
23.8 3 Colibroth
12.6 3 Eplus
12 3 Eplus
20.5 3 Eplus
17.3 3 Eplus
22.7 3 Eplus
13.8 3 Eplus
14.7 3 Eplus
4.3 3 Eplus
6 3 GoCo
18 3 GoCo
13.7 3 GoCo
5.2 3 GoCo
12.4 3 GoCo
5.1 3 GoCo
9.9 3 GoCo
5 3 GoCo
