"sex" "mass"
"1" "females" 18.3
"2" "females" 22.1
"3" "females" 22.4
"4" "females" 18.5
"5" "females" 22.2
"6" "females" 19.3
"7" "females" 17.8
"8" "females" 20.2
"9" "females" 22.1
"10" "females" 16.6
"11" "females" 20.7
"12" "females" 18.7
"13" "females" 22.6
"14" "females" 21.5
"15" "females" 21.7
"16" "females" 19.9
"17" "females" 23.1
"18" "females" 17.8
"19" "females" 19.5
"20" "females" 24.6
"21" "males" 22.7
"22" "males" 20.6
"23" "males" 25.4
"24" "males" 20.4
"25" "males" 21.6
"26" "males" 17
"27" "males" 26.4
"28" "males" 20.4
"29" "males" 24.7
"30" "males" 21.8
"31" "males" 23.4
"32" "males" 24.4
"33" "males" 21
"34" "males" 23.4
"35" "males" 20.5
"36" "males" 21.4
"37" "males" 21.5
"38" "males" 23.7
"39" "males" 23.4
"40" "males" 21.8
